Number of steps,Time steps,propagation probability,spread propagation,variance in count,start count,average count
100000,200000,0.75,0.25,12063253.455899999,49242,246.21
100000,200000,0.75,0.2631578947368421,12338694.514975006,49801,249.005
100000,200000,0.75,0.2763157894736842,12631278.956399992,50388,251.94
100000,200000,0.75,0.2894736842105263,12903464.39040001,50928,254.64
100000,200000,0.75,0.3026315789473684,13175478.783900004,51462,257.31
100000,200000,0.75,0.3157894736842105,13472068.383900004,52038,260.19
100000,200000,0.75,0.32894736842105265,13747888.254400007,52568,262.84
100000,200000,0.75,0.34210526315789475,14028088.099975001,53101,265.505
