1,-79999
2,-49633
3,-35936
4,-30233
5,-22249
6,-18969
7,-17406
8,-12866
9,-11462
10,-9286
11,-8734
12,-8874
13,-7160
14,-5757
15,-5166
16,-5047
17,-3814
18,-3496
19,-2965
20,-2953
21,-2634
22,-2312
23,-2370
24,-1150
25,-1494
26,-1077
27,-1239
28,-1125
29,-1210
30,-994
31,-481
32,-719
33,-675
34,-462
35,-696
36,-170
37,-282
38,-208
39,-414
40,-112
41,-300
42,-196
43,-249
44,-80
45,-39
46,-147
47,-196
48,-29
49,-79
50,-53
51,-25
52,-53
53,-115
54,-45
55,-58
56,2
57,-50
58,-34
59,-5
60,-13
61,-3
62,0
63,-3
64,-2
65,-9
66,-7
67,-6
