1,-63506
2,-44016
3,-29954
4,-22494
5,-20827
6,-16346
7,-13269
8,-9656
9,-13117
10,-11155
11,-8118
12,-7662
13,-9377
14,-7578
15,-8279
16,-6327
17,-5509
18,-6908
19,-5255
20,-4046
21,-4862
22,-3691
23,-4594
24,-4821
25,-3457
26,-3344
27,-3836
28,-3011
29,-2442
30,-2967
31,-2300
32,-3434
33,-2209
34,-2081
35,-2505
36,-2224
37,-1497
38,-2763
39,-1377
40,-1182
41,-1392
42,-1062
43,-1743
44,-1850
45,-1701
46,-1526
47,-1654
48,-911
49,-1028
50,-1329
51,-1258
52,-765
53,-286
54,-904
55,-193
56,-920
57,-786
58,-85
59,-1070
60,-776
61,-912
62,-503
63,-777
64,-395
65,-362
66,-702
67,-631
68,-399
69,-399
70,16
71,-345
72,-385
73,174
74,-505
75,-150
76,-306
77,-374
78,-369
79,-366
80,162
81,-598
82,-100
83,-146
84,-274
85,-248
86,-155
87,-205
88,-277
89,28
90,-52
91,-117
92,-194
93,-242
94,19
95,-124
96,-227
97,-207
98,-181
99,-13
100,-175
101,5
102,-39
103,-29
104,-15
105,-37
106,93
107,-29
108,-179
109,78
110,-189
111,-57
112,6
113,50
114,-76
115,-150
116,34
117,-114
118,-129
119,40
120,-66
121,84
122,-23
123,-2
124,0
125,-69
126,-76
127,25
128,39
129,-19
130,-76
131,-40
132,-11
133,31
134,-28
135,52
136,-22
137,-23
138,-66
139,10
140,19
141,-63
142,149
143,-145
144,52
145,-13
146,-48
147,-7
148,8
149,18
150,-17
151,-49
152,-29
153,-66
154,-5
155,-17
156,15
157,-19
158,4
159,14
160,-3
161,-11
162,-8
163,3
164,0
165,-1
166,0
167,-8
